id_cliente;churn_real;probabilidad_abandono;prediccion;nivel_riesgo
31;1;0.895;1;Alto
3453;0;0.05;0;Bajo
3357;0;0.395;0;Medio
1162;1;0.16;0;Bajo
1512;0;0.075;0;Bajo
4637;0;0.25;0;Bajo
4989;0;0.105;0;Bajo
995;0;0.005;0;Bajo
3354;1;0.09;0;Bajo
497;0;0.0;0;Bajo
2885;0;0.125;0;Bajo
3603;0;0.01;0;Bajo
4636;0;0.015;0;Bajo
4666;1;0.25;0;Bajo
2337;0;0.15;0;Bajo
3886;1;0.435;0;Medio
1591;0;0.345;0;Medio
1979;0;0.14;0;Bajo
4679;0;0.39;0;Medio
65;0;0.075;0;Bajo
2769;0;0.03;0;Bajo
3988;0;0.01;0;Bajo
1038;0;0.03;0;Bajo
3726;0;0.14;0;Bajo
2729;0;0.005;0;Bajo
267;0;0.36;0;Medio
1738;0;0.44;0;Medio
3899;0;0.055;0;Bajo
1557;0;0.225;0;Bajo
4180;0;0.01;0;Bajo
2322;0;0.01;0;Bajo
2731;0;0.07;0;Bajo
4384;0;0.025;0;Bajo
4170;0;0.005;0;Bajo
3119;0;0.01;0;Bajo
922;0;0.01;0;Bajo
325;0;0.04;0;Bajo
2303;0;0.125;0;Bajo
2355;0;0.005;0;Bajo
4320;0;0.48;0;Medio
2600;0;0.045;0;Bajo
3463;0;0.185;0;Bajo
4204;0;0.53;1;Medio
1763;0;0.015;0;Bajo
1742;0;0.06;0;Bajo
1068;0;0.18;0;Bajo
3601;0;0.03;0;Bajo
4162;0;0.0;0;Bajo
4200;0;0.07;0;Bajo
1996;1;0.21;0;Bajo
4610;0;0.13;0;Bajo
4363;0;0.02;0;Bajo
4832;0;0.015;0;Bajo
3262;0;0.32;0;Bajo
3536;0;0.155;0;Bajo
1039;0;0.015;0;Bajo
3533;1;0.495;0;Medio
4309;0;0.11;0;Bajo
2788;1;0.275;0;Bajo
2027;0;0.055;0;Bajo
2262;0;0.02;0;Bajo
2435;0;0.06;0;Bajo
1012;0;0.005;0;Bajo
2090;1;0.32;0;Bajo
508;0;0.125;0;Bajo
2003;0;0.285;0;Bajo
1476;0;0.29;0;Bajo
2129;0;0.205;0;Bajo
1026;0;0.405;0;Medio
3820;0;0.055;0;Bajo
3609;0;0.04;0;Bajo
4806;0;0.1;0;Bajo
1917;0;0.015;0;Bajo
2779;1;0.95;1;Alto
2332;1;0.42;0;Medio
1112;0;0.04;0;Bajo
2750;0;0.015;0;Bajo
260;0;0.07;0;Bajo
2515;0;0.25;0;Bajo
3178;0;0.13;0;Bajo
4527;0;0.01;0;Bajo
3836;0;0.14;0;Bajo
1385;0;0.01;0;Bajo
1513;0;0.005;0;Bajo
2169;0;0.005;0;Bajo
4872;0;0.05;0;Bajo
788;0;0.16;0;Bajo
3165;0;0.14;0;Bajo
1160;1;0.525;1;Medio
4704;1;0.56;1;Medio
3773;0;0.015;0;Bajo
2057;1;0.155;0;Bajo
2267;1;0.38;0;Medio
1061;0;0.07;0;Bajo
3104;1;0.485;0;Medio
811;0;0.015;0;Bajo
2424;0;0.46;0;Medio
2639;0;0.025;0;Bajo
4829;1;0.505;1;Medio
3243;0;0.155;0;Bajo
2962;0;0.155;0;Bajo
4261;0;0.065;0;Bajo
2326;0;0.37;0;Medio
4403;0;0.025;0;Bajo
2148;0;0.01;0;Bajo
3091;0;0.11;0;Bajo
3735;0;0.0;0;Bajo
4114;0;0.0;0;Bajo
205;0;0.015;0;Bajo
4139;0;0.065;0;Bajo
3561;0;0.135;0;Bajo
4781;0;0.02;0;Bajo
3789;0;0.02;0;Bajo
3595;0;0.0;0;Bajo
1488;0;0.005;0;Bajo
3005;0;0.51;1;Medio
1238;0;0.02;0;Bajo
87;0;0.27;0;Bajo
2021;0;0.085;0;Bajo
2456;1;0.12;0;Bajo
3677;0;0.49;0;Medio
2802;0;0.155;0;Bajo
1379;0;0.095;0;Bajo
3645;0;0.295;0;Bajo
60;1;0.35;0;Medio
4833;0;0.0;0;Bajo
1089;0;0.04;0;Bajo
178;0;0.0;0;Bajo
3803;0;0.365;0;Medio
3447;1;0.37;0;Medio
4512;0;0.48;0;Medio
2031;0;0.025;0;Bajo
2916;1;0.085;0;Bajo
1728;0;0.005;0;Bajo
2;0;0.095;0;Bajo
3162;1;0.15;0;Bajo
1087;0;0.275;0;Bajo
3106;0;0.245;0;Bajo
1672;0;0.065;0;Bajo
1654;1;0.055;0;Bajo
1543;0;0.365;0;Medio
2832;0;0.045;0;Bajo
3965;1;0.335;0;Medio
154;0;0.01;0;Bajo
968;0;0.21;0;Bajo
3172;0;0.525;1;Medio
2553;1;0.495;0;Medio
1305;0;0.015;0;Bajo
3401;0;0.205;0;Bajo
4631;0;0.215;0;Bajo
1222;0;0.005;0;Bajo
917;0;0.385;0;Medio
4541;1;0.39;0;Medio
4337;0;0.42;0;Medio
611;1;0.52;1;Medio
4681;0;0.015;0;Bajo
2039;0;0.015;0;Bajo
2820;0;0.075;0;Bajo
3334;0;0.0;0;Bajo
1879;1;0.705;1;Alto
1301;0;0.07;0;Bajo
2806;1;0.35;0;Medio
3433;0;0.0;0;Bajo
4758;1;0.94;1;Alto
4673;0;0.125;0;Bajo
694;1;0.255;0;Bajo
2662;0;0.025;0;Bajo
418;1;0.475;0;Medio
4783;1;0.69;1;Alto
1550;0;0.2;0;Bajo
3246;0;0.16;0;Bajo
1794;0;0.02;0;Bajo
2876;1;0.91;1;Alto
3522;0;0.07;0;Bajo
1241;0;0.315;0;Bajo
2614;0;0.44;0;Medio
3723;1;0.115;0;Bajo
874;0;0.045;0;Bajo
3846;0;0.015;0;Bajo
563;0;0.12;0;Bajo
3834;0;0.01;0;Bajo
4661;0;0.355;0;Medio
4634;1;0.145;0;Bajo
1364;0;0.025;0;Bajo
4346;1;0.04;0;Bajo
2854;0;0.01;0;Bajo
2521;1;0.245;0;Bajo
1638;1;0.93;1;Alto
4472;1;0.36;0;Medio
2991;0;0.025;0;Bajo
1679;0;0.055;0;Bajo
458;1;0.63;1;Medio
3762;0;0.575;1;Medio
4468;0;0.405;0;Medio
2292;0;0.095;0;Bajo
4365;0;0.555;1;Medio
2250;0;0.0;0;Bajo
2093;0;0.105;0;Bajo
3218;1;0.825;1;Alto
2536;0;0.005;0;Bajo
500;0;0.02;0;Bajo
709;0;0.015;0;Bajo
1085;0;0.165;0;Bajo
1054;0;0.0;0;Bajo
1426;1;0.445;0;Medio
1907;0;0.095;0;Bajo
3924;0;0.005;0;Bajo
3335;1;0.315;0;Bajo
104;0;0.02;0;Bajo
3028;0;0.145;0;Bajo
2630;0;0.155;0;Bajo
3420;0;0.065;0;Bajo
676;1;0.505;1;Medio
3591;1;0.39;0;Medio
1399;0;0.52;1;Medio
953;0;0.005;0;Bajo
820;0;0.185;0;Bajo
2242;1;0.495;0;Medio
2092;0;0.015;0;Bajo
1950;0;0.0;0;Bajo
1871;0;0.005;0;Bajo
3418;0;0.75;1;Alto
2317;1;0.905;1;Alto
4185;0;0.025;0;Bajo
4984;1;0.97;1;Alto
2011;0;0.13;0;Bajo
896;0;0.035;0;Bajo
2774;1;0.5;0;Medio
1524;1;0.775;1;Alto
2296;1;0.715;1;Alto
4964;0;0.515;1;Medio
1906;0;0.02;0;Bajo
2158;0;0.01;0;Bajo
1782;0;0.01;0;Bajo
3760;0;0.345;0;Medio
2724;0;0.055;0;Bajo
634;0;0.015;0;Bajo
4034;0;0.305;0;Bajo
4271;0;0.705;1;Alto
2249;0;0.03;0;Bajo
1940;0;0.425;0;Medio
1500;1;0.59;1;Medio
2784;1;0.29;0;Bajo
4982;0;0.145;0;Bajo
2917;1;0.235;0;Bajo
4669;0;0.02;0;Bajo
2858;1;0.555;1;Medio
4410;1;0.4;0;Medio
1114;0;0.0;0;Bajo
921;0;0.01;0;Bajo
2959;0;0.26;0;Bajo
3368;1;0.82;1;Alto
2309;0;0.075;0;Bajo
588;0;0.05;0;Bajo
1395;0;0.035;0;Bajo
1769;0;0.615;1;Medio
13;0;0.0;0;Bajo
1221;0;0.05;0;Bajo
17;1;0.04;0;Bajo
815;0;0.055;0;Bajo
332;0;0.155;0;Bajo
4059;0;0.005;0;Bajo
2172;0;0.07;0;Bajo
214;0;0.2;0;Bajo
2534;0;0.01;0;Bajo
3521;0;0.095;0;Bajo
3717;0;0.09;0;Bajo
4463;0;0.05;0;Bajo
3222;0;0.03;0;Bajo
1127;0;0.025;0;Bajo
3458;0;0.57;1;Medio
1948;1;0.27;0;Bajo
4606;0;0.04;0;Bajo
201;1;0.855;1;Alto
3188;0;0.02;0;Bajo
2612;0;0.015;0;Bajo
1457;0;0.07;0;Bajo
4452;0;0.115;0;Bajo
4804;0;0.01;0;Bajo
1217;0;0.025;0;Bajo
148;1;0.775;1;Alto
881;0;0.155;0;Bajo
1810;1;0.505;1;Medio
1063;0;0.15;0;Bajo
430;0;0.355;0;Medio
483;0;0.23;0;Bajo
3113;0;0.425;0;Medio
3656;0;0.0;0;Bajo
3576;0;0.285;0;Bajo
770;0;0.055;0;Bajo
2111;0;0.505;1;Medio
1767;0;0.015;0;Bajo
1795;0;0.085;0;Bajo
3235;0;0.02;0;Bajo
502;1;0.095;0;Bajo
15;0;0.58;1;Medio
1740;0;0.01;0;Bajo
2714;0;0.015;0;Bajo
4882;0;0.135;0;Bajo
4194;1;0.465;0;Medio
1851;1;0.89;1;Alto
1174;0;0.165;0;Bajo
1349;0;0.165;0;Bajo
1967;0;0.21;0;Bajo
4904;0;0.04;0;Bajo
755;0;0.1;0;Bajo
1571;1;0.605;1;Medio
3942;0;0.385;0;Medio
2101;0;0.03;0;Bajo
1895;0;0.385;0;Medio
3276;1;0.56;1;Medio
4028;0;0.265;0;Bajo
3437;1;0.325;0;Bajo
3711;1;0.385;0;Medio
1805;0;0.275;0;Bajo
1070;0;0.18;0;Bajo
616;0;0.05;0;Bajo
2376;0;0.26;0;Bajo
3412;0;0.15;0;Bajo
1234;1;0.44;0;Medio
1017;0;0.2;0;Bajo
1787;1;0.67;1;Alto
1587;0;0.03;0;Bajo
1368;0;0.43;0;Medio
247;0;0.27;0;Bajo
3783;0;0.555;1;Medio
4483;0;0.345;0;Medio
249;1;0.355;0;Medio
3693;0;0.54;1;Medio
440;1;0.31;0;Bajo
3570;0;0.03;0;Bajo
3888;1;0.02;0;Bajo
1934;0;0.04;0;Bajo
183;0;0.015;0;Bajo
1332;0;0.24;0;Bajo
169;0;0.02;0;Bajo
94;0;0.23;0;Bajo
2157;1;0.495;0;Medio
3330;1;0.875;1;Alto
4869;0;0.11;0;Bajo
660;0;0.09;0;Bajo
3703;0;0.265;0;Bajo
638;0;0.165;0;Bajo
4670;0;0.455;0;Medio
3471;1;0.785;1;Alto
536;0;0.595;1;Medio
2636;0;0.305;0;Bajo
2047;0;0.065;0;Bajo
3257;0;0.01;0;Bajo
329;0;0.06;0;Bajo
952;1;0.44;0;Medio
3896;0;0.075;0;Bajo
1452;0;0.39;0;Medio
2401;0;0.055;0;Bajo
2432;0;0.64;1;Medio
